Name,Slug,Cuisine,Price Level,Average Price,Currency,Rating,Review Count,Street,Zip Code,Locality,Country,Latitude,Longitude
O' Bistrot d'Or,o-bistrot-d-or,Français,3,30,EUR,8.4,137,8 Av. du Maine,75015,Paris,France,48.8443358,2.3199162
La Parenthèse,la-parenthese,Français,2,25,EUR,9.2,234,32 Boulevard du Montparnasse,75015,Paris,France,48.8452379,2.3192583
Iannello,iannello,Italien,3,49,EUR,9.6,917,17 Boulevard Exelmans,75016,Paris,France,48.840261,2.2655824
Khaaw Hoom,khaaw-hoom,Thaïlandais,3,36,EUR,9.5,267,42 Rue des Boulangers,75005,Paris,France,48.846417,2.3521227
Le Régent,le-regent,Italien,3,30,EUR,7.8,26,Rue La Fayette,75009,Paris,France,48.8752819,2.341647
Le Café de L'Èglise,le-cafe-de-l-eglise,Français,3,34,EUR,9,52,2 Pl. Franz Liszt,75010,Paris,France,48.8775372,2.3517977
Bistrot Instinct,bistrot-instinct,Français,3,46,EUR,9.7,1698,19 Rue de Picardie,75003,Paris,France,48.8637269,2.3625233
Délices Viet,delices-viet,Thaïlandais,2,20,EUR,9.2,952,38 Rue Coquillière,75001,Paris,France,48.8644819,2.3413612
La Pause Libanaise,la-pause-libanaise,Libanais,2,23,EUR,9.1,91,10 Rue de l'Isly,75008,Paris,France,48.8749032,2.3254003
Ozone Restaurant Thaï,ozone-restaurant-thai,Thaïlandais,3,32,EUR,9.3,1293,67 Boulevard de Vaugirard,75015,Paris,France,48.84047,2.3157161
Gogi Gogi,gogi-gogi,Coréen,2,25,EUR,9.6,30,249 Rue du Faubourg Saint-Antoine,75011,Paris,France,48.8501042,2.3859448
Abri,abri,Français,3,46,EUR,0,239,92 Rue du Faubourg Poissonnière,75010,Paris,France,48.877873,2.3492178
Le Seafood,le-seafood,,4,55,EUR,9.3,438,1 Rue de Turenne,75004,Paris,France,48.8548122,2.3629777
L'Amazonial,l-amazonial,Français,2,29,EUR,9.1,1354,3 Rue Sainte-Opportune,75001,Paris,France,48.8600069,2.3471205
Sukiyaki,sukiyaki,Japonais,2,23,EUR,8.7,33,54 Av. de France,75013,Paris,France,48.8269323,2.3805063
Del Papa - Malakoff,del-papa-malakoff,Italien,3,33,EUR,8.8,1168,"135, avenue Malakoff",75016,Paris,France,48.875035095703,2.283989906311035
Umami Burger Paris,umami-burger-paris,Américain,2,25,EUR,8.8,96,19 Rue du Commandant René Mouchotte,75014,Paris,France,48.8382943,2.3210421
Mama Jackson Soul Food Paris,mama-jackson-soul-food-paris,Américain,2,20,EUR,8.9,48,12 Rue Claude Tillier,75012,Paris,France,48.8479999,2.3879809
Madito,madito,Libanais,3,33,EUR,9.8,1408,12 Rue de Candie,75011,Paris,France,48.8512525,2.3801087
Bellefeuille,bellefeuille,Français,4,210,EUR,9.7,100,5 Pl. du Chancelier Adenauer,75116,Paris,France,48.8708962,2.2793172
Thai Time,thai-time,Thaïlandais,2,28,EUR,9.3,347,7 Rue Crozatier,75012,Paris,France,48.8454791,2.3824531
In Korea,in-korea,Coréen,2,24,EUR,9.3,186,51 Rue Richard Lenoir,75011,Paris,France,48.856999,2.3806598
L'Artisan du Burger - Forum des Halles,l-artisan-du-burger-forum-des-halles,Français,2,21,EUR,9.1,238,94 Rue Rambuteau,75001,Paris,France,48.8626053,2.3483157
Café Concorde,cafe-concorde,Français,3,30,EUR,8.1,30,239 Bd Saint-Germain,75007,Paris,France,48.8611824,2.3202207
Doron Spontini,doron-spontini,Israelien,2,25,EUR,9,147,11 Rue Spontini,75016,Paris,France,48.8699932,2.2785854
Junglii Indian Kitchen,junglii-indian-kitchen,Indien,2,22,EUR,9.5,128,78 Rue de La Jonquière,75017,Paris,France,48.8945199,2.3202532
Omar Dhiab,omar-dhiab,,4,118,EUR,9.5,190,23 Rue Hérold,75001,Paris,France,48.8651795,2.3418771
Dolce Vita,dolce-vita,Italien,1,18,EUR,8.6,13,25 Av. Claude Vellefaux,75010,Paris,France,48.8759483,2.3700717
Sushi Fuji,sushi-fuji,Japonais,2,24,EUR,8.1,307,58bis Rue Sainte-Anne,75002,Paris,France,48.8682206,2.3366133
Zambalha Restaurant Tibetain,zambalha-restaurant-tibetain,Asiatique,1,15,EUR,9.7,303,159 Rue de la Convention,75015,Paris,France,48.8388082,2.2933284
Pizza Angelina,pizza-angelina,Italien,1,19,EUR,9.2,97,197 Rue Raymond Losserand,75014,Paris,France,48.8290739,2.3086637
Domaine d'Olléac,domaine-d-olleac,Français,3,30,EUR,8.2,37,20 Rue Rousselet,75007,Paris,France,48.8486301,2.3183997
Les Tontons 15ème,les-tontons-15eme,Français,3,31,EUR,8.6,2092,"73, rue Brancion",75015,Paris,France,48.832003338109,2.3028900623321533
FOUDRE,foudre,Français,2,25,EUR,9.4,96,23 Rue du Château d'Eau,75010,Paris,France,48.8702111,2.3597109
Bistrot Castille,bistrot-castille,Cuisine du monde,3,50,EUR,7.8,18,33-37 Rue Cambon,75001,Paris,France,48.8682694,2.3268049
Maison Michodière par Hélène Darroze,maison-michodiere-par-helene-darroze,,4,275,EUR,9.8,4,16 Rue de la Michodière,75009,Paris,France,48.87029630000001,2.3349623
Le Trésor,le-tresor,Français,3,33,EUR,8.6,574,9 Rue du Trésor,75004,Paris,France,48.8570837,2.35761
Popu Bistro à Pizza (Dames),popu-bistro-a-pizza-dames,Italien,2,25,EUR,9.4,334,116 Rue des Dames,75017,Paris,France,48.8823973,2.315942
La Planche Libanaise,la-planche-libanaise,Libanais,2,29,EUR,0,0,12 Rue de Cotte,75012,Paris,France,48.84948370000001,2.3778763
Banoi Vinaigriers,banoi-vinaigriers,Vietnamien,1,15,EUR,9.5,116,51 Rue des Vinaigriers,75010,Paris,France,48.87313059999999,2.3599851
Le Collectionneur Restaurant,le-collectionneur-restaurant,Français,3,48,EUR,8.6,19,51 Rue de Courcelles,75008,Paris,France,48.8767072,2.3072182
Pépins,pepins,Français,2,22,EUR,9.2,287,21 Rue de Miromesnil,75008,Paris,France,48.8725818,2.3159052
Les Zazous,les-zazous,Français,3,35,EUR,9.1,1426,"46, boulevard du Montparnasse",75015,Paris,France,48.84471,2.32128
Bistrot Caché,bistrot-cache,Français,2,22,EUR,9.3,875,dans la court verte du village st paul,75004,Paris,France,48.8533064,2.361321
Le Christine,le-christine,Français,4,97,EUR,9.4,4997,"1, rue Christine",75006,Paris,France,48.854445008617,2.340179920196533
Nouilles Danseuses,nouilles-danseuses,Asiatique,1,15,EUR,9.7,38,12 Rue Marmontel,75015,Paris,France,48.8371454,2.2999358
Verona,verona,Italien,2,22,EUR,8.3,27,6 Rue de la Cossonnerie,75001,Paris,France,48.8615447,2.3488727
L’As du Shawarma,l-as-du-shawarma,Cuisine du monde,1,15,EUR,9.3,17,18 Rue d'Aligre,75012,Paris,France,48.8492501,2.3784618
Brach,brach,Méditérranéen,4,61,EUR,9.3,766,1-7 Rue Jean Richepin,75116,Paris,France,48.861301,2.2752858
La Salle à Manger 2.0,la-salle-a-manger-2-0,Méditérranéen,1,18,EUR,9.6,31,31 Rue Juliette Dodu,75010,Paris,France,48.8757796,2.3684671
Chez Sirine,chez-sirine,Libanais,2,23,EUR,0,0,1 Place Léon Blum,75011,Paris,France,48.8696502,2.3447758
Mori Venice Bar,mori-venice-bar,Italien,4,88,EUR,9.3,2538,"27, rue Vivienne",75002,Paris,France,48.868852685955,2.3400700092315674
